Event Name,StartDate,EndDate
"Taxiwars  + 
          Tristan",2022/06/09,2022/06/09
Starsailor,2022/06/06,2022/06/06
"Discobar Galaxie's Nightshift                             
          (laatste tickets)",2022/06/05,2022/06/06
Rick De Leeuw,2022/06/04,2022/06/04
Jim White,2022/06/03,2022/06/03
Buurman,2022/06/01,2022/06/01
"JJ Wilde                             
          (geannuleerd)",2022/05/30,2022/05/30
Nick Waterhouse,2022/05/28,2022/05/28
"Van der Graaf Generator                             
          (geannuleerd)",2022/05/25,2022/05/25
"Chuck Phophet                              
          (geannuleerd)",2022/05/24,2022/05/24
Pauwel,2022/05/23,2022/05/23
Sophia,2022/05/22,2022/05/22
Soulsister (sold out),2022/05/21,2022/05/21
"Breaking Barriers presents Pussy Riot + 
          Hägar The Womb + Hetze",2022/05/20,2022/05/20
"Gestapo Knallmuzik + 
          Pilkington United",2022/05/18,2022/05/18
The Bootleg Sixties,2022/05/16,2022/05/16
"Bonga                             
          (geannuleerd)",2022/05/15,2022/05/15
"Adriaan Van den Hoof: 't Zal schoon zijn als het af is                              
          (slotshow)",2022/05/14,2022/05/14
"Adriaan Van den Hoof: 't Zal schoon zijn als het af is                              
          (slotshow)",2022/05/13,2022/05/13
Shaka Shams + BLUAI + Ila,2022/05/11,2022/05/11
"MEROL                             
          (sold out)",2022/05/10,2022/05/10
"TCBE invites                             
          (sold out)",2022/05/09,2022/05/09
"The James Hunter Six + 
          Freddy DeBoe Trio",2022/05/07,2022/05/07
Lander & Adriaan,2022/05/06,2022/05/06
Open Mic,2022/05/04,2022/05/04
Lieven Scheire: 'Live in nerdland: DNA' (sold out),2022/05/03,2022/05/03
"Lieven Scheire: 'Live in nerdland: DNA'                              
          (sold out)",2022/05/02,2022/05/02
"FEEST ::                              
          19 jaar Het Depot",2022/04/30,2022/04/30
"The Tallest Man On Earth + 
          Gordi",2022/04/29,2022/04/29
"The Me In You + 
          Glitterpaard",2022/04/27,2022/04/27
"Protoje                             
          (geannuleerd)",2022/04/26,2022/04/26
Asa Moto live,2022/04/26,2022/04/26
"William Fitzsimmons + 
          Beharie",2022/04/25,2022/04/25
COOL presents The Amy Winehouse Band,2022/04/24,2022/04/24
"Eefje de Visser + 
          Bobbi Lu
      
          (sold out)",2022/04/22,2022/04/22
"Froukje + 
          CHARLOT
      
          (sold out)",2022/04/21,2022/04/21
"Yung Mavu + 
          yunobi",2022/04/20,2022/04/20
"Admiral Freebee + 
          Sam De Nef",2022/04/19,2022/04/19
